Unnamed: 0.1,Unnamed: 0,ID,COUN,COUN_MAP,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,Field1,SIT,SEX_MAP,RELI_MAP,PRAC_MAP,FOCC_MAP,MOCC_MAP,FIEL_MAP,COUN_MAP.1,model_completion
28,28,29,1,sweden,2,22,1,1,7.0,6.0,2.0,1.0,joy,When I pass an examination which I did not think I did well.,female,protestant,practicing,white collar academic,white collar nonacademic,social sciences,sweden,Gratitude
29,29,30,1,sweden,2,22,1,1,7.0,6.0,2.0,2.0,fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",female,protestant,practicing,white collar academic,white collar nonacademic,social sciences,sweden,Concern.
30,30,31,1,sweden,2,22,1,1,7.0,6.0,2.0,3.0,anger,When one is unjustly accused of something one has not done.,female,protestant,practicing,white collar academic,white collar nonacademic,social sciences,sweden,Compassion.
31,31,32,1,sweden,2,22,1,1,7.0,6.0,2.0,4.0,sadness,When one's studies seem hopelessly difficult and uninteresting.  ,female,protestant,practicing,white collar academic,white collar nonacademic,social sciences,sweden,Frustration
32,32,33,1,sweden,2,22,1,1,7.0,6.0,2.0,5.0,disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.",female,protestant,practicing,white collar academic,white collar nonacademic,social sciences,sweden,Compassion.
33,33,34,1,sweden,2,22,1,1,7.0,6.0,2.0,6.0,shame,"When one has been unjust, stupid towards someone else. ",female,protestant,practicing,white collar academic,white collar nonacademic,social sciences,sweden,Regret
34,34,35,1,sweden,2,22,1,1,7.0,6.0,2.0,7.0,guilt,When one has neglected or been unjust to a good friend.,female,protestant,practicing,white collar academic,white collar nonacademic,social sciences,sweden,Regret
35,35,36,1,sweden,1,23,1,2,0.0,0.0,2.0,1.0,joy,Passing an exam I did not expect to pass.,male,protestant,not practising,,,social sciences,sweden,Gratitude
36,36,37,1,sweden,1,23,1,2,0.0,0.0,2.0,2.0,fear,When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,male,protestant,not practising,,,social sciences,sweden,Mindfulness
37,37,38,1,sweden,1,23,1,2,0.0,0.0,2.0,3.0,anger,Friends who torture animals.,male,protestant,not practising,,,social sciences,sweden,Compassion
38,38,39,1,sweden,1,23,1,2,0.0,0.0,2.0,4.0,sadness,Same as in anger.,male,protestant,not practising,,,social sciences,sweden,Frustration.
39,39,40,1,sweden,1,23,1,2,0.0,0.0,2.0,5.0,disgust,Friends who torture animals.,male,protestant,not practising,,,social sciences,sweden,Compassion
40,40,41,1,sweden,1,23,1,2,0.0,0.0,2.0,6.0,shame,Same as above - friends who torture animals.,male,protestant,not practising,,,social sciences,sweden,Compassion
41,41,42,1,sweden,1,23,1,2,0.0,0.0,2.0,7.0,guilt,When excuses are necessary and I get out of doing it myself.,male,protestant,not practising,,,social sciences,sweden,Relief
42,42,43,1,sweden,2,35,0,2,0.0,8.0,2.0,1.0,joy,When I had my children.,female,,not practising,,self-employed nonacademic,social sciences,sweden,Joy
43,43,44,1,sweden,2,35,0,2,0.0,8.0,2.0,2.0,fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,female,,not practising,,self-employed nonacademic,social sciences,sweden,Fear
44,44,45,1,sweden,2,35,0,2,0.0,8.0,2.0,3.0,anger,When my partner was attacked and lost three teeth.,female,,not practising,,self-employed nonacademic,social sciences,sweden,Compassion
45,45,46,1,sweden,2,35,0,2,0.0,8.0,2.0,4.0,sadness,When I see children on T.V from areas devastated by drought and war.,female,,not practising,,self-employed nonacademic,social sciences,sweden,Compassion
46,46,47,1,sweden,2,35,0,2,0.0,8.0,2.0,5.0,disgust,When I nearly walked on a blindworm and then saw it crawl away.,female,,not practising,,self-employed nonacademic,social sciences,sweden,Compassion
47,47,48,1,sweden,2,35,0,2,0.0,8.0,2.0,6.0,shame,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,female,,not practising,,self-employed nonacademic,social sciences,sweden,Compassion
48,48,49,1,sweden,2,35,0,2,0.0,8.0,2.0,7.0,guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.",female,,not practising,,self-employed nonacademic,social sciences,sweden,Compassion
49,49,50,1,sweden,2,34,1,2,7.0,7.0,2.0,1.0,joy,When my child was born.,female,protestant,not practising,white collar academic,white collar academic,social sciences,sweden,Joy
50,50,51,1,sweden,2,34,1,2,7.0,7.0,2.0,2.0,fear,"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.",female,protestant,not practising,white collar academic,white collar academic,social sciences,sweden,Mindfulness
51,51,52,1,sweden,2,34,1,2,7.0,7.0,2.0,3.0,anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ",female,protestant,not practising,white collar academic,white collar academic,social sciences,sweden,Compassion
52,52,53,1,sweden,2,34,1,2,7.0,7.0,2.0,4.0,sadness,Failing an examination.,female,protestant,not practising,white collar academic,white collar academic,social sciences,sweden,Acceptance
53,53,54,1,sweden,2,34,1,2,7.0,7.0,2.0,5.0,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.",female,protestant,not practising,white collar academic,white collar academic,social sciences,sweden,Compassion.
54,54,55,1,sweden,2,34,1,2,7.0,7.0,2.0,6.0,shame,"When, as an adult I have been caught lying or behaving badly.",female,protestant,not practising,white collar academic,white collar academic,social sciences,sweden,Shame
55,55,56,1,sweden,2,34,1,2,7.0,7.0,2.0,7.0,guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am.",female,protestant,not practising,white collar academic,white collar academic,social sciences,sweden,Compassion
56,56,57,1,sweden,2,24,1,1,7.0,7.0,2.0,1.0,joy,When I saw a person I had not seen for a long time.,female,protestant,practicing,white collar academic,white collar academic,social sciences,sweden,Joy
57,57,58,1,sweden,2,24,1,1,7.0,7.0,2.0,2.0,fear,"When, as a child, I was nearly knocked down by a car.",female,protestant,practicing,white collar academic,white collar academic,social sciences,sweden,Fear
58,58,59,1,sweden,2,24,1,1,7.0,7.0,2.0,3.0,anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.",female,protestant,practicing,white collar academic,white collar academic,social sciences,sweden,Compassion
59,59,60,1,sweden,2,24,1,1,7.0,7.0,2.0,4.0,sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.",female,protestant,practicing,white collar academic,white collar academic,social sciences,sweden,Solitude
60,60,61,1,sweden,2,24,1,1,7.0,7.0,2.0,5.0,disgust,When one learns through the mass media all the wars and killing going on in the world.,female,protestant,practicing,white collar academic,white collar academic,social sciences,sweden,Compassion.
61,61,62,1,sweden,2,24,1,1,7.0,7.0,2.0,6.0,shame,"I lied, to be precise I cancelled a meeting with a good friend.",female,protestant,practicing,white collar academic,white collar academic,social sciences,sweden,Regret
62,62,63,1,sweden,2,24,1,1,7.0,7.0,2.0,7.0,guilt,When one lets friends down,female,protestant,practicing,white collar academic,white collar academic,social sciences,sweden,Regret
63,63,64,1,sweden,1,24,0,2,6.0,6.0,2.0,1.0,joy,When I was accepted for a course on finance and accounting.,male,,not practising,white collar nonacademic,white collar nonacademic,social sciences,sweden,Gratitude
64,64,65,1,sweden,1,24,0,2,6.0,6.0,2.0,2.0,fear,"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.",male,,not practising,white collar nonacademic,white collar nonacademic,social sciences,sweden,Fear
65,65,66,1,sweden,1,24,0,2,6.0,6.0,2.0,3.0,anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own.",male,,not practising,white collar nonacademic,white collar nonacademic,social sciences,sweden,Acceptance
66,66,67,1,sweden,1,24,0,2,6.0,6.0,2.0,4.0,sadness,When I was not accepted as a student in finance and accounting.,male,,not practising,white collar nonacademic,white collar nonacademic,social sciences,sweden,Acceptance
67,67,68,1,sweden,1,24,0,2,6.0,6.0,2.0,5.0,disgust,When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,male,,not practising,white collar nonacademic,white collar nonacademic,social sciences,sweden,Compassion
68,68,69,1,sweden,1,24,0,2,6.0,6.0,2.0,6.0,shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,male,,not practising,white collar nonacademic,white collar nonacademic,social sciences,sweden,Regret
69,69,70,1,sweden,1,24,0,2,6.0,6.0,2.0,7.0,guilt,At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,male,,not practising,white collar nonacademic,white collar nonacademic,social sciences,sweden,Contentment
70,70,71,1,sweden,1,25,1,2,7.0,6.0,2.0,1.0,joy,Passed an exam by 2 points.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Gratitude
71,71,72,1,sweden,1,25,1,2,7.0,6.0,2.0,2.0,fear,"In a cottage in a large forest, I was alone for a while in the dark.",male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Serenity
72,72,73,1,sweden,1,25,1,2,7.0,6.0,2.0,3.0,anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Mindfulness
73,73,74,1,sweden,1,25,1,2,7.0,6.0,2.0,4.0,sadness,Railway station good-bye.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Impermanence
74,74,75,1,sweden,1,25,1,2,7.0,6.0,2.0,5.0,disgust,I saw a cripple in rags with small children in Italy.  He was probably an imposter.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Compassion
75,75,76,1,sweden,1,25,1,2,7.0,6.0,2.0,6.0,shame,I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Compassion
76,76,77,1,sweden,1,25,1,2,7.0,6.0,2.0,7.0,guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Regret
77,77,78,1,sweden,1,23,1,2,7.0,6.0,2.0,1.0,joy,I passed an exam that I was absolutely certain that I had failed.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Gratitude
78,78,79,1,sweden,1,23,1,2,7.0,6.0,2.0,2.0,fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.",male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Compassion
79,79,80,1,sweden,1,23,1,2,7.0,6.0,2.0,3.0,anger,I locked myself out.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Acceptance
80,80,81,1,sweden,1,23,1,2,7.0,6.0,2.0,4.0,sadness,I missed the last tram home and had to walk in the pouring rain.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Acceptance
81,81,82,1,sweden,1,23,1,2,7.0,6.0,2.0,5.0,disgust,I found some worms in the food and I had obviously eaten some.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Compassion.
82,82,83,1,sweden,1,23,1,2,7.0,6.0,2.0,6.0,shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents.",male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Compassion
83,83,84,1,sweden,1,23,1,2,7.0,6.0,2.0,7.0,guilt,I hapened to overhear something which I was not meant to hear.,male,protestant,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Mindfulness
84,84,85,1,sweden,2,22,1,2,7.0,4.0,2.0,1.0,joy,When I won a trip to Greece in a competition.,female,protestant,not practising,white collar academic,blue collar untrained,social sciences,sweden,Gratitude.
85,85,86,1,sweden,2,22,1,2,7.0,4.0,2.0,2.0,fear,When I am out in the dark and a suspicious looking character comes towards me.,female,protestant,not practising,white collar academic,blue collar untrained,social sciences,sweden,Mindfulness
86,86,87,1,sweden,2,22,1,2,7.0,4.0,2.0,3.0,anger,"At work, when an elderly man complained unjustifiably about me and distrusted me.",female,protestant,not practising,white collar academic,blue collar untrained,social sciences,sweden,Compassion
87,87,88,1,sweden,2,22,1,2,7.0,4.0,2.0,4.0,sadness,When I had not understood anything after a lecture.,female,protestant,not practising,white collar academic,blue collar untrained,social sciences,sweden,Curiosity
88,88,89,1,sweden,2,22,1,2,7.0,4.0,2.0,5.0,disgust,When an alcoholic stood dribbling over a food counter.,female,protestant,not practising,white collar academic,blue collar untrained,social sciences,sweden,Compassion
89,89,90,1,sweden,2,22,1,2,7.0,4.0,2.0,6.0,shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening.,female,protestant,not practising,white collar academic,blue collar untrained,social sciences,sweden,Embarrassment
90,90,91,1,sweden,2,22,1,2,7.0,4.0,2.0,7.0,guilt,When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.,female,protestant,not practising,white collar academic,blue collar untrained,social sciences,sweden,Compassion.
91,91,92,1,sweden,1,23,0,0,7.0,4.0,2.0,1.0,joy,At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.,male,,,white collar academic,blue collar untrained,social sciences,sweden,Gratitude
92,92,93,1,sweden,1,23,0,0,7.0,4.0,2.0,2.0,fear,On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.,male,,,white collar academic,blue collar untrained,social sciences,sweden,Mindfulness
93,93,94,1,sweden,1,23,0,0,7.0,4.0,2.0,3.0,anger,Mad at my dad.,male,,,white collar academic,blue collar untrained,social sciences,sweden,Compassion.
94,94,95,1,sweden,1,23,0,0,7.0,4.0,2.0,4.0,sadness,A case of unrequited love.,male,,,white collar academic,blue collar untrained,social sciences,sweden,Compassion
95,95,96,1,sweden,1,23,0,0,7.0,4.0,2.0,5.0,disgust,A bad smelling cucumber.,male,,,white collar academic,blue collar untrained,social sciences,sweden,Mindfulness
96,96,97,1,sweden,1,23,0,0,7.0,4.0,2.0,6.0,shame,Nearly caught masturbating.,male,,,white collar academic,blue collar untrained,social sciences,sweden,Embarrassment
97,97,98,1,sweden,1,23,0,0,7.0,4.0,2.0,7.0,guilt,I do not help out enough at home.,male,,,white collar academic,blue collar untrained,social sciences,sweden,Regret
98,98,99,1,sweden,1,26,0,2,7.0,6.0,2.0,1.0,joy,I felt very happy when I won the football pools.,male,,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Joy
99,99,100,1,sweden,1,26,0,2,7.0,6.0,2.0,2.0,fear,When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,male,,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Impermanence
100,100,101,1,sweden,1,26,0,2,7.0,6.0,2.0,3.0,anger,When someone stole my bike.,male,,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Compassion
101,101,102,1,sweden,1,26,0,2,7.0,6.0,2.0,4.0,sadness,"When I saw the list of books to read for an acccouting course, I thought  Oh God how will I ever manaage it!",male,,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Overwhelmed
102,102,103,1,sweden,1,26,0,2,7.0,6.0,2.0,5.0,disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.,male,,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Curiosity
103,103,104,1,sweden,1,26,0,2,7.0,6.0,2.0,6.0,shame,When I dropped a bottle in the state liquor store and everyboby started laughing.,male,,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Embarrassment
104,104,105,1,sweden,1,26,0,2,7.0,6.0,2.0,7.0,guilt,"When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents.",male,,not practising,white collar academic,white collar nonacademic,social sciences,sweden,Regret
105,105,106,1,sweden,2,33,1,2,4.0,4.0,2.0,1.0,joy,When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,female,protestant,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Joy
106,106,107,1,sweden,2,33,1,2,4.0,4.0,2.0,2.0,fear,"When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)",female,protestant,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Relief
107,107,108,1,sweden,2,33,1,2,4.0,4.0,2.0,3.0,anger,When friends try to put me down or hurt me.  ,female,protestant,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Compassion.
108,108,109,1,sweden,2,33,1,2,4.0,4.0,2.0,4.0,sadness,Marriage crises.  Boredom.,female,protestant,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Compassion
109,109,110,1,sweden,2,33,1,2,4.0,4.0,2.0,5.0,disgust,When someone makes advances that one does not want.,female,protestant,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Discomfort
110,110,111,1,sweden,2,33,1,2,4.0,4.0,2.0,6.0,shame,The discovery that one has only thought of oneself.,female,protestant,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Regret.
111,111,112,1,sweden,2,33,1,2,4.0,4.0,2.0,7.0,guilt,When I spanked a child in anger and later regretted it terribly.,female,protestant,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Remorse
112,112,113,1,sweden,2,23,1,0,9.0,5.0,2.0,1.0,joy,When I passed the first examination that I had to repeat.,female,protestant,,self-employed academic,blue collar trained,social sciences,sweden,Relief
113,113,114,1,sweden,2,23,1,0,9.0,5.0,2.0,2.0,fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,female,protestant,,self-employed academic,blue collar trained,social sciences,sweden,Mindfulness
114,114,115,1,sweden,2,23,1,0,9.0,5.0,2.0,3.0,anger,When my boyfriend went away for a month long holiday without me.,female,protestant,,self-employed academic,blue collar trained,social sciences,sweden,Acceptance
115,115,116,1,sweden,2,23,1,0,9.0,5.0,2.0,4.0,sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,female,protestant,,self-employed academic,blue collar trained,social sciences,sweden,Acceptance
116,116,117,1,sweden,2,23,1,0,9.0,5.0,2.0,5.0,disgust,When a dog is left whining outside a shop.,female,protestant,,self-employed academic,blue collar trained,social sciences,sweden,Compassion.
117,117,118,1,sweden,2,23,1,0,9.0,5.0,2.0,6.0,shame,When I promised to help a friend over a weekend and did not keep the promise.,female,protestant,,self-employed academic,blue collar trained,social sciences,sweden,Regret
118,118,119,1,sweden,2,23,1,0,9.0,5.0,2.0,7.0,guilt,When I realized that I had three more examinations to take.,female,protestant,,self-employed academic,blue collar trained,social sciences,sweden,Acceptance
119,119,120,1,sweden,1,30,1,2,5.0,1.0,2.0,1.0,joy,The day I was told that I had been accepted as a student of economics.,male,protestant,not practising,blue collar trained,housewife,social sciences,sweden,Gratitude
120,120,121,1,sweden,1,30,1,2,5.0,1.0,2.0,2.0,fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people.",male,protestant,not practising,blue collar trained,housewife,social sciences,sweden,Fear
121,121,122,1,sweden,1,30,1,2,5.0,1.0,2.0,3.0,anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .",male,protestant,not practising,blue collar trained,housewife,social sciences,sweden,Compassion.
122,122,123,1,sweden,1,30,1,2,5.0,1.0,2.0,4.0,sadness,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,male,protestant,not practising,blue collar trained,housewife,social sciences,sweden,Fear
123,123,124,1,sweden,1,30,1,2,5.0,1.0,2.0,5.0,disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,male,protestant,not practising,blue collar trained,housewife,social sciences,sweden,Compassion
124,124,125,1,sweden,1,30,1,2,5.0,1.0,2.0,6.0,shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.",male,protestant,not practising,blue collar trained,housewife,social sciences,sweden,Shame
125,125,126,1,sweden,1,30,1,2,5.0,1.0,2.0,7.0,guilt,"When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong.",male,protestant,not practising,blue collar trained,housewife,social sciences,sweden,Guilt
126,126,127,1,sweden,1,24,8,2,4.0,4.0,2.0,1.0,joy,When I found out that I had passed the last two exams by a margin of three marks.,male,areligious,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Gratitude
127,127,128,1,sweden,1,24,8,2,4.0,4.0,2.0,2.0,fear,When my father was ill and was waiting for the results of his tests.,male,areligious,not practising,blue collar untrained,blue collar untrained,social sciences,sweden,Compassion
